Code,Prüfung,Studiengang,Sem.,PO,Prüfwoche,Prüfdatum,Tag,Beginn,Dauer,Prüfer,Prüfungsform,Zweitprüfer,Bemerkung
15021,Schaltungstechnik,Bachelor EI Dual,5,2016,3,11.02.22,Fr,16:30,2:00,Kellner,KL,Feige,
15041,Grundlagen der Betriebswirtschaftslehre,Bachelor EI Dual,5,2016,4,16.02.22,Mi,11:00,2:00,Lang,KL,Hermannns,
20071,Robotik,Bachelor EI Dual,6,2016,1,26.01.22,Mi,15:00,1:00,Haehnel,KL,Feige,
50051,Mikroelektronische Sensoren,Bachelor EI Dual,6,2016,1,27.01.22,Do,14:30,1:30,Scheubel,KL,Rieß,
40011,Embedded Systems I,Bachelor EI Dual,6,2016,2,31.01.22,Mo,12:30,1:30,Protogerakis,KL,Lux,
40021,Datenübertragung und Protokolle,Bachelor EI Dual,6,2016,2,04.02.22,Fr,09:30,2:00,Frese,KL,Pogatzki,
41021,Sicherheit in Netzen,Bachelor EI Dual,6,2016,3,07.02.22,Mo,,,Frese,BP-HA + BP-V,Pogatzki,T.n.V. / Dauer: 20-40 Min
20021,Regelungstechnik,Bachelor EI Dual,6,2016,3,10.02.22,Do,11:00,1:30,Beck,KL,Protogerakis,
42011,Höchstfrequenztechnik,Bachelor EI Dual,6,2016,3,10.02.22,Do,08:00,1:30,Gronau,KL,Pogatzki,
40011,Embedded Systems I,Bachelor EI Dual,6,2016,3,11.02.22,Fr,17:30,1:30,Mandorf,KL,Mondwurf,Siemens
20041,Aktorik,Bachelor EI Dual,6,2016,4,14.02.22,Mo,13:00,1:30,Gottkehaskamp,KL,Wrede,
40031,Signal- und Systemtheorie,Bachelor EI Dual,6,2016,4,14.02.22,Mo,10:00,2:00,Pogatzki,KL,Gronau,
50011,Halbleitergrundlagen,Bachelor EI Dual,6,2016,4,14.02.22,Mo,12:30,1:00,"Rieß",KL,"Licht",
50041,Aufbau- und Verbindungstechnik,Bachelor EI Dual,6,2016,4,15.02.22,Di,13:00,1:30,Licht,KL,Fülber,
41011,Software Engineering II,Bachelor EI Dual,6,2016,5,22.02.22,Di,08:00,1:30,Lux,KL,Frese,
42021,Schaltungen und Systeme,Bachelor EI Dual,6,2016,5,23.02.22,Mi,09:00,2:00,Pogatzki,KL,Gronau,
30041,Leistungselektronik und Antriebsregelung,Bachelor EI Dual,7,2016,1,27.01.22,Do,08:00,2:00,Wrede,KL,Gottkehaskamp,
30011,Elektrische Maschinen,Bachelor EI Dual,7,2016,2,03.02.22,Do,09:00,2:00,Gottkehaskamp,KL,Wrede,
30021,Hochspannungstechnik & EMV,Bachelor EI Dual,7,2016,3,09.02.22,Mi,11:00,2:00,Schoft,KL,Arlt,
30031,Elektrische Energieversorgung,Bachelor EI Dual,7,2016,5,22.02.22,Di,10:00,2:00,Arlt,KL,Schoft,
40051,Nachrichtencodierung,Bachelor EI Dual,7,2016,1,26.01.22,Mi,12:30,2:00,Pogatzki,KL,Gronau,
50031,Mikroelektronik,Bachelor EI Dual,7,2016,2,31.01.22,Mo,12:00,2:00,Fülber,KL,Licht,
41031,Embedded Systems II,Bachelor EI Dual,7,2016,2,01.02.22,Di,,,Mondwurf,M,Protogerakis,T.n.V. / Dauer: 20-40 Min
20061,Prozessleittechnik,Bachelor EI Dual,7,2016,2,01.02.22,Di,13:30,2:00,Protogerakis,KL,Haehnel,
50021,Halbleiterfertigung,Bachelor EI Dual,7,2016,3,07.02.22,Mo,10:00,2:00,Licht,KL,Fülber,
20031,SPS & Sicherheitstechnik,Bachelor EI Dual,7,2016,2,04.02.22,Fr,08:00,2:00,Haehnel,KL,Beck,
50061,Entwurf Integrierter Schaltungen,Bachelor EI Dual,7,2016,4,14.02.22,Mo,12:30,1:00,Rieß,KL,Scheubel,
20011,Sensorsysteme und Signalverarbeitung,Bachelor EI Dual,7,2016,5,23.02.22,Mi,11:00,3:00,Feige,KL,Haehnel,
42041,Optische Nachrichtentechnik,Bachelor EI Dual,7,2016,5,26.02.22,Sa,,,Braun A.,BP-V,Prochotta,T.n.V. / Dauer: 20-40 Min
41041,Betriebssysteme,Bachelor EI Dual,7,2016,5,24.02.22,Do,14:00,1:30,Lux,KL,Frese,
40041,Digitale Signalverarbeitung,Bachelor EI Dual,7,2016,5,25.02.22,Fr,10:30,2:00,Frese,KL,Pogatzki,
20051,Kommunikationssysteme,Bachelor EI Dual,7,2016,5,25.02.22,Fr,13:00,1:00,Haehnel,KL,Protogerakis,
50071,Analoge Übertragungstechnik,Bachelor EI Dual,7,2016,5,25.02.22,Fr,08:30,1:00,Rieß,KL,Scheubel,
42031,CAD von Mikrowellenschaltungen,Bachelor EI Dual,7,2016,5,26.02.22,Sa,,,Gronau,BP-PB,Pogatzki,T.n.V.
16011,Englisch,Bachelor EI Dual,7,2016,5,26.02.22,Sa,,,Meier S.,BP-HA,Zupfer,T.n.V.
3448,Autonomes Fahren,Bachelor WIE,WMB,2012,5,26.02.22,Sa,,,Braun A.,BP-PB,Prochotta,T.n.V.
